XCENTER,XRADIUS,XLENGTH,YCENTER,YRADIUS,YLENGTH,ZCENTER,ZRADIUS,ZLENGTH,CLUSTER
42,7,14,14,2,5,26,4,8,1
56,4,9,28,4,9,26,2,5,2
22,6,11,54,9,18,18,7,14,3
24,5,10,22,6,12,26,3,6,4
56,4,9,16,4,7,44,4,8,5
56,6,12,36,4,8,26,4,8,6
24,5,10,44,5,10,20,6,11,7
30,5,10,12,5,10,34,4,8,8
58,4,7,18,5,10,30,4,9,9
58,4,7,14,4,7,30,4,9,10
26,4,7,18,4,9,38,4,8,11
60,4,7,30,5,10,26,6,11,12
56,4,9,22,4,7,26,4,8,13
20,5,10,18,4,9,26,4,8,14
50,5,10,24,6,11,56,5,10,15
54,4,8,20,2,5,38,6,12,16
26,4,9,46,4,9,20,2,5,17
14,3,6,30,4,9,30,4,7,18
54,4,7,12,3,6,38,4,7,19
56,6,12,36,5,10,52,4,8,20
22,6,11,30,6,12,56,4,8,21
18,4,9,30,4,8,36,3,6,22
26,3,6,24,7,14,50,6,11,23
38,6,12,18,5,10,26,2,5,24
54,2,5,18,2,5,38,3,6,25
60,4,7,18,5,10,38,5,10,26
54,2,5,44,4,7,30,4,9,27
22,5,10,18,4,7,34,4,9,28
54,2,5,18,5,10,50,4,8,29
54,5,10,48,4,7,16,8,16,30
22,6,11,18,3,6,30,4,9,31
60,2,5,52,6,12,18,6,12,32
58,4,7,18,4,7,26,3,6,33
58,4,9,32,8,15,56,6,13,34
52,4,7,12,3,6,32,4,9,35
46,6,12,16,5,10,26,3,6,36
34,15,30,66,3,6,30,1,2,37
26,4,7,14,2,5,30,4,9,38
24,4,9,42,2,4,16,4,7,39
58,2,5,54,5,10,18,6,13,40
28,6,13,18,5,10,26,4,8,41
20,4,8,22,5,10,38,4,7,42
52,4,7,28,4,7,48,5,10,43
18,3,6,36,4,7,26,5,10,44
60,6,13,42,3,6,56,6,11,45
26,4,8,30,6,12,30,2,5,46
52,4,7,16,4,7,30,4,9,47
68,3,6,26,2,5,30,6,11,48
20,4,8,24,6,12,26,3,6,49
18,3,6,24,5,10,30,4,9,50
32,2,4,46,5,10,30,6,11,51
28,4,7,22,4,7,54,4,7,52
20,5,10,40,3,6,24,4,8,53
54,4,7,24,3,6,44,4,7,54
28,4,7,30,5,10,58,4,8,55
26,5,10,30,3,6,26,2,5,56
20,4,7,34,4,9,26,3,6,57
58,5,10,38,6,11,24,4,7,58
26,4,7,18,4,9,44,4,9,59
54,4,7,12,4,9,26,4,7,60
58,6,11,24,4,7,26,6,13,61
22,4,7,20,5,10,40,4,8,62
38,6,12,44,2,3,50,12,23,63
32,6,11,14,5,10,30,4,7,64
20,4,8,32,4,7,30,4,9,65
26,8,15,26,4,7,56,5,10,66
60,6,13,28,6,12,30,5,10,67
26,4,8,34,4,9,26,4,8,68
62,4,9,20,4,8,36,4,7,69
24,3,6,24,6,11,30,6,12,70
58,4,7,42,2,4,16,6,12,71
24,3,6,30,4,7,62,2,5,72
32,2,3,42,4,9,16,2,3,73
56,4,7,36,5,10,52,6,11,74
52,4,7,30,4,9,52,5,10,75
64,4,7,24,4,8,26,2,5,76
18,2,4,30,4,7,26,3,6,77
64,4,7,30,6,11,26,4,8,78
22,2,5,28,4,7,30,4,8,79
58,4,9,18,4,7,38,6,11,80
52,2,5,12,2,5,30,4,9,81
62,4,7,36,4,7,56,4,8,82
22,6,11,24,2,5,30,4,7,83
28,2,5,24,6,13,50,4,7,84
30,4,9,30,4,7,50,5,10,85
56,3,6,30,5,10,28,3,6,86
64,4,7,18,5,10,28,4,7,87
26,4,8,24,4,7,42,5,10,88
26,4,8,26,2,5,28,4,7,89
48,7,14,30,8,17,62,6,13,90
60,4,8,42,3,6,50,4,7,91
58,2,5,30,5,10,54,5,10,92
12,8,16,38,4,9,44,10,21,93
28,4,7,36,4,7,26,3,6,94
20,2,4,24,2,5,36,3,6,95
54,2,5,36,6,13,16,8,15,96
48,2,4,12,2,4,30,4,9,97
26,5,10,34,5,10,52,5,10,98
28,4,7,14,4,7,38,4,7,99
28,4,7,42,3,6,18,6,12,100
