ID,Beta_VR_1_S,Beta_VR_2_S,Beta_VL_1_S,Beta_VL_2_S,Beta_DR_1_S,Beta_DR_2_S,Beta_DL_1_S,Beta_DL_2_S,Beta_VR_1_N,Beta_VR_2_N,Beta_VL_1_N,Beta_VL_2_N,Beta_DR_1_N,Beta_DR_2_N,Beta_DL_1_N,Beta_DL_2_N
sub1,0.131962589,0.151969121,0.119338361,0.159809783,0.135365723,0.142086863,0.10931989,0.139087134,0.084772535,0.074888092,0.07972296,0.074984338,0.068563368,0.077277214,0.072676107,0.091746198
sub2,0.112006311,0.13421442,0.110759918,0.137226584,0.072851046,0.118338436,0.090785088,0.098103207,0.129190319,0.159569039,0.143973823,0.156419651,0.142715302,0.186186852,0.157468148,0.186302469
sub3,0.105529954,0.148785729,0.127377945,0.157020883,0.127504097,0.132020811,0.131589897,0.140908344,0.096250043,0.097494126,0.126971016,0.101823914,0.099173907,0.116884491,0.10538484,0.109892612
sub4,0.092969373,0.128825938,0.136211764,0.150677378,0.057089994,0.08898109,0.113853542,0.066552445,0.082783783,0.065063897,0.110742532,0.081822592,0.026304473,0.044426332,0.063566007,0.043799547
sub5,0.142801208,0.144466404,0.130005702,0.162100043,0.17350642,0.132379529,0.144018593,0.128547399,0.099371729,0.105432517,0.152587404,0.100746427,0.125456717,0.084874538,0.132605395,0.097199557
sub6,0.104936918,0.105788384,0.145599545,0.172686773,0.121047807,0.107000162,0.108549716,0.099533161,0.123891026,0.133531433,0.140473653,0.161735812,0.108260802,0.108704578,0.039220006,0.077079918
sub7,0.162695993,0.163847585,0.139668889,0.120665535,0.175100905,0.133812228,0.14166234,0.146159995,0.199615887,0.126308153,0.158335733,0.109647921,0.108317,0.131428076,0.095597105,0.108088633
sub8,0.133279713,0.151464582,0.180187948,0.193138707,0.128108827,0.131929044,0.151207626,0.149616551,0.124674975,0.13370971,0.15764796,0.15573789,0.114199609,0.114393253,0.139373007,0.131899978
sub9,0.126691228,0.128267307,0.113410747,0.113137091,0.087796179,0.089771731,0.116439494,0.088834638,0.11736903,0.101079736,0.126387564,0.110903269,0.090204552,0.093945803,0.078443164,0.087137447
sub10,0.107688506,0.134621021,0.134032337,0.124117917,0.110759646,0.10027683,0.122419829,0.10559937,0.08814151,0.08672882,0.08793457,0.078679087,0.033447333,0.079774541,0.034674859,0.056486364
sub11,0.126416898,0.125913435,0.124606978,0.153992082,0.08771552,0.102802639,0.141570325,0.097431405,0.1180212,0.142773914,0.116079589,0.132452325,0.116215327,0.151816836,0.10452577,0.121445988
sub12,0.177747358,0.224178503,0.168019738,0.212869561,0.181847711,0.160195313,0.180323361,0.155706665,0.104151096,0.087673698,0.144128382,0.079972022,0.046877535,0.069590027,0.023775494,0.044870767
