Intact,S4,S16,S64,S256,Participant,Object_Type
76.5,34,-0.476660092,-3.206730769,-2,1,Novel
49,12.75,5.75,2.0625,-4.5,2,Novel
80,1.3125,-9.1875,12.6875,-7.5,3,Novel
63.9375,16.5,3.875,0.177884615,-2.375,4,Novel
85.5,33,23.25,10.875,13.125,5,Novel
83.125,10,0,2.5,2.5,6,Novel
82.94230769,32.625,5.026298488,-0.706730769,-10.125,7,Novel
80.9375,12.42147436,15.5,-3.75,6.5625,8,Novel
72.25,0,-0.532544379,10.9375,6.75,9,Novel
95.0625,48.875,26.8125,9.6875,8.25,10,Novel
72.5625,31.80144642,17.5,7.437541091,-1.625,11,Novel
90.1875,43.78369494,15.75,14.25,0,12,Novel
77.15835642,25,-0.382653061,7.874072997,-2.899659864,13,Novel
